,Symbol,Year,Altman Z-Score,Bankruptcy Likelihood
914,FBHS,2014,3.27774,safe
915,LMT,2013,1.93993,grey zone
916,LMT,2015,1.60795,bankruptcy imminent
917,LMT,2014,2.13012,grey zone
918,GLW,2013,3.32049,safe
919,GLW,2015,2.62765,grey zone
920,GLW,2014,3.56999,safe
921,CVS,2013,2.65185,grey zone
922,CVS,2015,2.14643,grey zone
923,CVS,2014,2.94289,grey zone
924,WFM,2013,9.55985,safe
925,WFM,2015,5.24049,safe
926,WFM,2014,6.07285,safe
927,WFM,2016,3.5921,safe
928,PEG,2013,1.05719,bankruptcy imminent
929,PEG,2012,1.0096,bankruptcy imminent
930,PEG,2014,1.15846,bankruptcy imminent
931,PEG,2015,1.08742,bankruptcy imminent
932,SWK,2013,1.42204,bankruptcy imminent
933,SWK,2016,1.97068,grey zone
934,PSX,2013,2.02772,grey zone
935,PSX,2015,2.27488,grey zone
936,PSX,2014,2.05597,grey zone
937,TXN,2013,6.62229,safe
938,TXN,2012,4.96499,safe
939,TXN,2014,8.54501,safe
940,TXN,2015,9.47044,safe
941,TSS,2013,3.04079,safe
942,TSS,2012,6.10079,safe
943,TSS,2014,3.20513,safe
944,TSS,2015,4.19105,safe
945,BAC,2013,0.18467,bankruptcy imminent
946,BAC,2012,0.15535,bankruptcy imminent
947,BAC,2014,0.18879,bankruptcy imminent
948,EMR,2013,3.91648,safe
949,EMR,2015,3.54122,safe
950,EMR,2014,3.82602,safe
951,EMR,2016,3.5764,safe
952,XEC,2013,2.48527,grey zone
953,XEC,2012,1.69904,bankruptcy imminent
954,XEC,2014,2.09286,grey zone
955,XEC,2015,-0.11181,bankruptcy imminent
956,PNC,2013,0.28992,bankruptcy imminent
957,PNC,2012,0.25231,bankruptcy imminent
958,PNC,2014,0.29547,bankruptcy imminent
959,PNC,2015,0.29593,bankruptcy imminent
960,AJG,2013,1.29289,bankruptcy imminent
961,AJG,2015,1.02415,bankruptcy imminent
962,AJG,2014,1.07489,bankruptcy imminent
963,FL,2013,4.77344,safe
964,FL,2015,5.99503,safe
965,FL,2014,5.07719,safe
966,FL,2016,6.32925,safe
